TEAM;GROUP;SPI;OFF.;DEF.;"1ST
PLACE";"2ND
PLACE";"MAKE
ROUND OF 16";"MAKE QUARTER-
FINALS";"MAKE
SEMI-FINALS";"MAKE
FINAL";"WIN
WORLD CUP";WIN
"
Brazil";G;93.7;3.2;0.3;85 %;13 %;98 %;76 %;49 %;35 %;23 %;0,23
"
Spain";E;91.2;3.0;0.3;85 %;11 %;96 %;70 %;36 %;25 %;15 %;0,15
"
France";D;90.1;3.0;0.5;>99%;1%;✓;76 %;47 %;27 %;13 %;0,13
"
Portugal";H;87.3;2.8;0.5;67 %;21 %;87 %;50 %;29 %;16 %;7 %;0,09
"
England";B;85.4;2.5;0.5;82 %;18 %;>99%;60 %;30 %;15 %;7 %;0,08
"
Argentina";C;86.0;2.5;0.4;57 %;20 %;77 %;49 %;30 %;13 %;7 %;0,07
"
Netherlands";A;84.4;2.6;0.6;76 %;23 %;>99%;60 %;32 %;12 %;6 %;0,06
"
Germany";E;88.7;3.2;0.6;10 %;53 %;63 %;41 %;22 %;12 %;6 %;0,05
"
Belgium";F;80.5;2.5;0.7;53 %;26 %;79 %;32 %;13 %;6 %;2 %;0,02
"
Uruguay";H;79.7;2.1;0.5;21 %;37 %;58 %;22 %;10 %;5 %;2 %;0,018
"
Switzerland";G;77.5;2.2;0.6;13 %;55 %;68 %;28 %;12 %;5 %;2 %;0,016
"
Ecuador";A;75.8;1.9;0.6;18 %;53 %;71 %;32 %;13 %;5 %;2 %;0,014
"
Croatia";F;78.5;2.2;0.6;26 %;26 %;52 %;21 %;8 %;4 %;2 %;0,012
"
Denmark";D;77.7;2.1;0.6;—;50 %;50 %;23 %;11 %;3 %;1 %;0,01
"
Poland";C;69.0;1.8;0.8;36 %;39 %;76 %;25 %;9 %;2 %;1%;0,008
"
Japan 3";E;73.7;2.0;0.7;5 %;24 %;29 %;13 %;5 %;2 %;1%;0,01
"
USA 2";B;72.6;1.9;0.7;5 %;32 %;37 %;15 %;6 %;2 %;1%;0,01
"
Serbia 0";G;74.6;2.1;0.7;1 %;28 %;29 %;11 %;5 %;2 %;1%;0,01
"
Morocco 1 pt.";F;74.7;2.0;0.6;14 %;27 %;42 %;13 %;4 %;2 %;1%;0,01
"
South Korea 1 pt.";H;70.0;1.7;0.7;11 %;26 %;38 %;10 %;4 %;1 %;1%;0,01
"
Canada 0";F;73.8;2.0;0.7;7 %;20 %;27 %;8 %;3 %;1 %;1%;0,01
"
Iran 3";B;69.3;1.8;0.7;12 %;46 %;58 %;21 %;7 %;2 %;1%;0,01
"
Senegal 3";A;73.0;1.9;0.6;6 %;23 %;30 %;12 %;4 %;2 %;1%;0,01
"
Mexico 1 pt.";C;72.4;1.8;0.6;1%;17 %;17 %;5 %;2 %;1%;1%;0,01
"
Australia 3";D;62.4;1.6;0.9;1%;46 %;46 %;14 %;4 %;1%;1%;0,01
"
Saudi Arabia 3";C;62.0;1.7;0.9;7 %;24 %;30 %;6 %;2 %;1%;1%;0,01
"
Cameroon 0";G;63.6;1.6;0.8;1%;5 %;5 %;1 %;1%;1%;1%;0,01
"
Tunisia 1 pt.";D;65.9;1.5;0.7;—;4 %;4 %;2 %;1%;1%;1%;0,01
"
Wales 1 pt.";B;65.2;1.7;0.8;1%;5 %;5 %;2 %;1%;1%;1%;0,01
"
Ghana 0";H;60.0;1.5;0.9;1 %;16 %;17 %;2 %;1%;1%;1%;0,01
"
Costa Rica 3";E;52.9;1.3;0.9;1%;12 %;13 %;3 %;1%;1%;1%;0,01
"
Qatar 0";A;48.5;1.4;1.3;—;—;—;—;—;—;—;0
